,title,price,link
0,"Acer ALG Gaming Laptop 13th Gen
                                        Intel Core i7 Processor (16GB DDR4/512GB SSD/6GB RTX3050
                                        Graphics/144Hz/Win11Home/Wifi 6) AL15G-53, 39.62cm (15.6"") FHD Display, Premium
                                        Metal Body, Steel Gray, 1.99KG  ","67,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2OTE0MzQwMTAxODU4MTU1OjE3Mjk2NTUxMTY6c3BfYXRmOjMwMDMyOTg0MzE2NjYzMjo6MDo6&url=%2FAcer-Processor-Graphics-Win11Home-AL15G-53%2Fdp%2FB0DFHFCS4Y%2Fref%3Dsr_1_1_sspa%3Fcrid%3D4DC3J2RVS6HW%26dib%3DeyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729655116%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2OTE0MzQwMTAxODU4MTU1OjE3Mjk2NTUxMTY6c3BfYXRmOjMwMDEwNzY0ODY4NjAzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_2_sspa%3Fcrid%3D4DC3J2RVS6HW%26dib%3DeyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729655116%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTA2ODYzNDI0MzA3NTMzOjE3Mjk2NTUxMTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM1NjQ5NjIxMTczMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D4DC3J2RVS6HW%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.udTH5Vof67DhAwhKrKp0fOyuYjQ6YJ7d3SVFQsqOp4UwM-Fp0TvNJYOv9FEsGbIf0oykwHex1_XmyI9J2NqnwA.bchiyTkcOn1T9wi3yA9h6zrz_9mlYEzIYYje7MRM10s%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CP2KRYLM%26pd_rd_r%3D321d7e2f-90de-4559-a6e9-0bf9bf20045f%26pd_rd_w%3D7fmhh%26pd_rd_wg%3DLKZMd%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DTWGSH3ZV40YBVD4X2F6D%26qid%3D1729655116%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
3,"HP 15s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/MS Office 21/Windows 11/15.6"" (39.6cm)/Silver/1.69 kg) fy5011TU Laptop  ","34,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTA2ODYzNDI0MzA3NTMzOjE3Mjk2NTUxMTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM2MzM5MTIxMzIzMjo6MTo6&url=%2FHP-Office-Windows-39-6cm-fy5011TU%2Fdp%2FB0D4LZMJ5Z%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D4DC3J2RVS6HW%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.udTH5Vof67DhAwhKrKp0fOyuYjQ6YJ7d3SVFQsqOp4UwM-Fp0TvNJYOv9FEsGbIf0oykwHex1_XmyI9J2NqnwA.bchiyTkcOn1T9wi3yA9h6zrz_9mlYEzIYYje7MRM10s%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0D4LZMJ5Z%26pd_rd_r%3D321d7e2f-90de-4559-a6e9-0bf9bf20045f%26pd_rd_w%3D7fmhh%26pd_rd_wg%3DLKZMd%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DTWGSH3ZV40YBVD4X2F6D%26qid%3D1729655116%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
4,"HP 15 Core i3 13th Gen (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office 21/Silver/1.59 kg) fd0006TU Laptop  ","39,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTA2ODYzNDI0MzA3NTMzOjE3Mjk2NTUxMTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE1NDcwNTIyOTMzMjo6Mjo6&url=%2FHP-Windows-Office-Silver-fd0006TU%2Fdp%2FB0C3RF3HT3%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D4DC3J2RVS6HW%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.udTH5Vof67DhAwhKrKp0fOyuYjQ6YJ7d3SVFQsqOp4UwM-Fp0TvNJYOv9FEsGbIf0oykwHex1_XmyI9J2NqnwA.bchiyTkcOn1T9wi3yA9h6zrz_9mlYEzIYYje7MRM10s%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0C3RF3HT3%26pd_rd_r%3D321d7e2f-90de-4559-a6e9-0bf9bf20045f%26pd_rd_w%3D7fmhh%26pd_rd_wg%3DLKZMd%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DTWGSH3ZV40YBVD4X2F6D%26qid%3D1729655116%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
5,"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop  ","69,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTA2ODYzNDI0MzA3NTMzOjE3Mjk2NTUxMTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMzMzcyNzA4MTkzMjo6Mzo6&url=%2FDell-Smartchoice-G15-5530-Gaming-i5-13450HX%2Fdp%2FB0CRKXDX83%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D4DC3J2RVS6HW%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.udTH5Vof67DhAwhKrKp0fOyuYjQ6YJ7d3SVFQsqOp4UwM-Fp0TvNJYOv9FEsGbIf0oykwHex1_XmyI9J2NqnwA.bchiyTkcOn1T9wi3yA9h6zrz_9mlYEzIYYje7MRM10s%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CRKXDX83%26pd_rd_r%3D321d7e2f-90de-4559-a6e9-0bf9bf20045f%26pd_rd_w%3D7fmhh%26pd_rd_wg%3DLKZMd%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DTWGSH3ZV40YBVD4X2F6D%26qid%3D1729655116%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
6,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTA2ODYzNDI0MzA3NTMzOjE3Mjk2NTUxMTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2Njk0MTUwNTgzMjo6NDo6&url=%2FASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS%2Fdp%2FB0CHMZRC89%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D4DC3J2RVS6HW%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.udTH5Vof67DhAwhKrKp0fOyuYjQ6YJ7d3SVFQsqOp4UwM-Fp0TvNJYOv9FEsGbIf0oykwHex1_XmyI9J2NqnwA.bchiyTkcOn1T9wi3yA9h6zrz_9mlYEzIYYje7MRM10s%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CHMZRC89%26pd_rd_r%3D321d7e2f-90de-4559-a6e9-0bf9bf20045f%26pd_rd_w%3D7fmhh%26pd_rd_wg%3DLKZMd%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DTWGSH3ZV40YBVD4X2F6D%26qid%3D1729655116%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
7,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN  ","22,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_6?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-6
8,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_7?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-7
9,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop  ","32,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_8?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-8
10,"Acer Aspire 3 Intel Core i3-N305 Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (8 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/38Wh) A324-31, Steel Gray, 1.45KG  ","25,970",https://amazon.in//Acer-Processor-LED-Backlit-Graphics-A324-31/dp/B0DF2XN36M/ref=sr_1_9?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-9
11,HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU/fd0111tu Laptop  ,"49,990",https://amazon.in//HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_10?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-10
12,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","19,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_3?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-3
13,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG  ","41,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2OTE0MzQwMTAxODU4MTU1OjE3Mjk2NTUxMTY6c3BfbXRmOjMwMDMyNTkyMDk2MzczMjo6MDo6&url=%2FAcer-i5-12450H-Windows11Home-AL15-52H-Keyboard%2Fdp%2FB0DDL495SX%2Fref%3Dsr_1_11_sspa%3Fcrid%3D4DC3J2RVS6HW%26dib%3DeyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729655116%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2OTE0MzQwMTAxODU4MTU1OjE3Mjk2NTUxMTY6c3BfbXRmOjMwMDIwODAzODQ5MTAzMjo6MDo6&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CLTW4D7T%2Fref%3Dsr_1_12_sspa%3Fcrid%3D4DC3J2RVS6HW%26dib%3DeyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729655116%26sprefix%3Dlaptop%252Caps%252C224%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
15,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","35,990",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_13?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-13
16,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","27,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_14?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-14
17,"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS  ","23,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_15?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-15
18,"Acer Chromebook Intel Celeron N4500 Processor (Chrome OS/8 GB RAM/128 GB eMMC/WiFi 6) CB315-4H with 39.6 cm (15.6"") Full HD LED Backlit TFT LCD, Silver, 1.6 KG  ","16,990",https://amazon.in//Acer-Chromebook-Celeron-Processor-CB315-4H/dp/B0DH4M1MJ3/ref=sr_1_16?crid=4DC3J2RVS6HW&dib=eyJ2IjoiMSJ9.jmqaqGaY9NmwhclL3peaIYGnUKSRmVvVpryeBQ1DGLbNK-_Phwj9Yodfql9PkDC3jNR0KFxL1oE843adurORqx3hqewgPK-EBn7s--s6SJr_DOxymCtDiNvfyFxNrJc5Qo_gP1lwZRgFtx1cVsT97Z2QcW8dOrVzWDowFVrRxueu-r75P6A1g9XgIL0Fg-oocYpJJOQZU_z1z81kldEo5mlfnpt2ZB3fQEBIJ66uSs0.iqSoiqLA0H0jwv6-Mwaid9Itv-Z-g24Y5PWIbBRAFJo&dib_tag=se&keywords=laptop&qid=1729655116&sprefix=laptop%2Caps%2C224&sr=8-16
